CocState,CoC,Coc\ID,HudNum,year,Organization ID,Organization Name,Project ID,Project Name,Project Type,Bed Type,Geo Code,Inventory Type,Target Population A,Target Population B,address1,city,state,zip,Beds HH w/ Children,Units HH w/ Children,HMIS Beds HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/o Children,HMIS Beds HH w/o Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,Beds HH w/ only Children,HMIS Beds HH w/ only Children,CH Beds HH w only Children,Year-Round Beds,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Total Beds,Updated On,notes,projectNotes
OR,Central Oregon CoC,1275,OR-503,2018,520,Bethlehem Inn,1181,Bethlehem Inn,ES,F,410114,C,SMF+HC,NA,3705 N HIGHWAY 97,BEND,OR,97701,24,5,24,3,0,,96,96,2,0,,0,0,,120,12,12,12/2/17 0:00,3/31/18 0:00,134,3/23/18 12:24,,
OR,Central Oregon CoC,1275,OR-503,2018,8108,Cascade Youth and Family Center,57927,Basic Center,ES,O,410114,C,YMF,NA,19 SW CENTURY DR,BEND,OR,97702,0,0,0,0,0,,0,0,0,0,,6,6,,6,0,0,,,6,3/19/18 14:02,,
OR,Central Oregon CoC,1275,OR-503,2018,8108,Cascade Youth and Family Center,103366,Emergency Shelter,ES,F,410114,C,YMF,,19 SW CENTURY DR,BEND,OR,97702,,,,,,,1,1,0,1,,2,2,,3,,,,,3,3/13/18 18:55,,
OR,Central Oregon CoC,1275,OR-503,2018,8108,Cascade Youth and Family Center,4901,Grandma's House Emergency Shelter,ES,F,410114,C,SFHC,NA,1600 NE RUMGAY LN,BEND,OR,97701,0,0,0,0,0,,6,6,0,6,,0,0,,6,,,,,6,6/28/18 9:41,,
OR,Central Oregon CoC,1275,OR-503,2018,8108,Cascade Youth and Family Center,105361,Grandma's House Transitional Housing,TH,,410114,C,SFHC,NA,1600 NE RUMGAY LN,BEND,OR,97701,4,2,4,0,4,,,,,,,2,2,,6,,,,,6,4/25/18 14:58,,
OR,Central Oregon CoC,1275,OR-503,2018,8108,Cascade Youth and Family Center,12407,The Loft,TH,,410114,C,YMF,NA,19 SW CENTURY DR,BEND,OR,97702,0,0,0,,,,5,5,0,5,,4,4,,9,,,,,9,3/13/18 18:52,,
OR,Central Oregon CoC,1275,OR-503,2018,8108,Cascade Youth and Family Center,110155,The Loft/OYA,ES,F,419017,C,YMF,,19 SW CENTURY DR,BEND,OR,97702,,,,,,,3,,0,3,,3,,,6,,,,,6,3/19/18 14:00,,
OR,Central Oregon CoC,1275,OR-503,2018,1499,Central Oregon Veterans Outreach,5688,GPD - Home of the Brave,TH,,410114,C,SM,NA,2934 NE WELLS ACRES RD,BEND,OR,97701,,,,,,,6,6,6,0,,,,,6,,,,,6,3/14/18 14:11,,
OR,Central Oregon CoC,1275,OR-503,2018,1499,Central Oregon Veterans Outreach,57928,Housing Plus,PSH,,410114,C,SMF+HC,NA,61510 S HIGHWAY 97 STE 100,BEND,OR,97702,,,,,,,16,16,16,0,16,,,,16,,,,,16,4/26/18 16:20,,
OR,Central Oregon CoC,1275,OR-503,2018,1499,Central Oregon Veterans Outreach,109994,PSH: Housing Stabilization Program,PSH,,419017,U,HC,NA,2349 NE WELLS ACRES RD,BEND,OR,97701,4,2,,4,0,4,,,,,,,,,4,,,,,4,3/13/18 18:23,,
OR,Central Oregon CoC,1275,OR-503,2018,14890,Housing Works,32670,Barbara's Place,PSH,,419017,C,SMF,NA,1881 SW TIMBER AVE,REDMOND,OR,97756,0,0,0,0,0,,6,0,1,0,6,,,,6,,,,,6,4/30/18 13:54,,
OR,Central Oregon CoC,1275,OR-503,2018,14890,Housing Works,32675,Centennial Point,PSH,,410114,C,SMF+HC,NA,410 SE 6TH ST,BEND,OR,97702,,,,,,,4,0,0,0,4,,,,4,,,,,4,4/26/18 16:21,,
OR,Central Oregon CoC,1275,OR-503,2018,14890,Housing Works,55242,HUD - VASH,PSH,,419017,C,SMF+HC,NA,405 SW 6TH ST,REDMOND,OR,97756,30,12,0,30,0,30,72,0,72,0,72,0,0,,102,,,,,102,3/13/18 19:15,,
OR,Central Oregon CoC,1275,OR-503,2018,14890,Housing Works,103673,Independence Place,PSH,,411140,C,SMF+HC,NA,1251 SW 27TH ST,REDMOND,OR,97756,,,,,,,2,0,1,0,2,,,,2,,,,,2,4/26/18 16:20,,
OR,Central Oregon CoC,1275,OR-503,2018,41564,La Pine Warming Shelter,110168,La Pine Warming Shelter,ES,F,419017,C,SMF+HC,,16430 3RD ST,LA PINE,OR,97739,,,,,,,,,,,,,,,0,20,0,10/1/17 0:00,3/31/18 0:00,20,4/26/18 16:28,"This shelter is typically only open when temperatures are below 10 degrees. For the month of January, the temperatures never got this low. The warming shelter opened its doors the night of PIT, but because the weather wasn't below 10 degrees, most likely people weren't aware that it was open. For next year there will be better messaging to the community that the warming shelter will be open the night of PIT, regardless of temperature.",
OR,Central Oregon CoC,1275,OR-503,2018,41566,Madras Gospel Mission,110172,MGM Men's Shelter,ES,F,419031,C,SM,NA,63 SE 11TH ST,MADRAS,OR,97741,,,,,,,13,0,0,0,,,,,13,,,,,16,3/19/18 17:21,,
OR,Central Oregon CoC,1275,OR-503,2018,4791,NeighborImpact,8101,Nancy's House,ES,F,410114,C,HC,NA,20310 EMPIRE AVE STE A100,BEND,OR,97701,17,5,17,0,0,,0,0,0,0,,0,0,,17,0,0,,,17,3/13/18 18:45,,
OR,Central Oregon CoC,1275,OR-503,2018,4791,NeighborImpact,109993,PH: Rapid Re-Housing,RRH,,419017,C,HC,NA,2303 SW 1ST ST,REDMOND,OR,97756,117,35,117,0,0,,0,0,0,0,,0,0,,117,,,,,117,4/18/18 15:58,,
OR,Central Oregon CoC,1275,OR-503,2018,4791,NeighborImpact,90809,Welcome Home,PSH,,419031,C,HC,NA,2303 SW First St,Redmond,OR,97756,3,1,3,3,0,3,0,0,0,0,,0,0,,3,,,,,3,3/13/18 18:01,,
OR,Central Oregon CoC,1275,OR-503,2018,39959,OHOP,103674,HOPWA,PSH,,410114,C,SMF+HC,HIV,1645 NE FORBES RD,BEND,OR,97701,,,,,,,9,0,0,0,9,,,,9,,,,,9,3/26/18 15:15,,
OR,Central Oregon CoC,1275,OR-503,2018,29503,Redemption House Ministries,81921,Redemption House,ES,F,419013,C,SFHC,,780 E 1ST ST,PRINEVILLE,OR,97754,8,2,8,0,0,,14,0,0,0,,0,0,,22,0,0,,,22,3/13/18 19:09,,
OR,Central Oregon CoC,1275,OR-503,2018,29503,Redemption House Ministries,103365,Regeneration House,ES,F,419013,C,SM,,445 NW 3RD ST,PRINEVILLE,OR,97754,,,,,,,0,0,0,0,,16,16,,16,,,,,16,3/13/18 19:13,,
OR,Central Oregon CoC,1275,OR-503,2018,39904,Sister's Warming Shelter,103370,Warming Shelter,ES,F,419017,C,SMF+HC,,68825 Brooks Camp,Sisters,OR,97759,,,,,,,,,,,,,,,0,25,,11/1/17 0:00,3/31/18 0:00,25,4/26/18 16:39,,
OR,Central Oregon CoC,1275,OR-503,2018,6858,The Shepherd's House,44461,Shepherd's House,ES,F,410114,C,SM,,1854 NE DIVISION ST,BEND,OR,97701,,,,,,,20,0,0,0,,,,,20,,,,,20,3/13/18 19:03,,
OR,Central Oregon CoC,1275,OR-503,2018,6858,The Shepherd's House,103451,Shepherd's House - Redmond,ES,F,419017,C,SMF+HC,,1854 NE DIVISION ST,BEND,OR,97701,,,,,,,,,,,,,,,0,25,0,11/1/17 0:00,3/31/18 0:00,25,4/26/18 16:38,,Office location - not location of sites
OR,Central Oregon CoC,1275,OR-503,2018,6858,The Shepherd's House,12215,The Shepherd's House,TH,,410114,C,SM,NA,1854 NE DIVISION ST,BEND,OR,97701,,,,,,,30,0,0,0,,,,,30,,,,,30,3/13/18 19:06,,
OR,Clackamas County CoC,1285,OR-507,2018,1390,Central City Concern,2600,Chez Ami,PSH,,419005,C,SMF,NA,8358 SE CAUSEY AVE,PORTLAND,OR,97086,0,0,0,0,0,0,40,40,0,0,2,0,0,0,40,,,,,40,4/12/18 16:55,,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,15496,Bridges to Housing,PSH,,419005,C,HC,NA,,,OR,97222,80,25,80,0,0,25,0,0,0,0,,0,0,,80,,,,,80,4/26/18 16:22,,
OR,Clackamas County CoC,1285,OR-507,2018,1767,Clackamas County H3S,26015,Church Shelters,ES,O,419005,C,HC,NA,1115 COUNTRY CLUB RD,LAKE OSWEGO,OR,97034,6,2,6,0,0,,0,0,,,,0,0,,6,,,,,6,4/18/18 17:57,,
